fecha,region,canal,clientes,visitas,inversion_marketing,ventas
2025-01-01,Este,partner,40,700,795.33,2294.4
2025-01-02,Oeste,web,39,663,975.02,1291.86
2025-01-03,Sur,partner,33,691,445.83,1303.57
2025-01-04,Oeste,web,37,707,801.57,2308.37
2025-01-05,Oeste,web,31,703,686.07,2026.7
2025-01-06,Norte,web,46,694,523.47,1986.56
2025-01-07,Sur,tienda,39,705,849.07,1959.6
2025-01-08,Sur,tienda,48,707,555.89,2700.27
2025-01-09,Sur,tienda,40,763,397.42,1984.5
2025-01-10,Oeste,,43,679,699.06,1954.27
2025-01-11,Este,tienda,48,684,627.37,1980.78
2025-01-12,Sur,tienda,46,740,585.19,2485.26
2025-01-13,Oeste,web,41,663,465.44,2172.39
2025-01-14,Norte,web,42,717,921.6,2673.41
2025-01-15,Este,web,43,663,752.58,1552.77
2025-01-16,Norte,partner,36,722,731.45,1324.18
2025-01-17,Este,web,38,711,643.99,2126.06
2025-01-18,Oeste,partner,42,691,973.6,1526.78
2025-01-19,Centro,web,43,657,451.4,2341.71
2025-01-20,Este,partner,43,667,439.88,1994.8
2025-01-21,Norte,tienda,36,673,944.79,1582.57
2025-01-22,Oeste,web,43,727,167.45,1970.15
2025-01-23,Este,tienda,52,686,646.67,1821.14
2025-01-24,Centro,tienda,41,708,482.03,2151.41
2025-01-25,Centro,partner,41,718,948.3,2642.06
2025-01-26,Sur,web,44,722,907.35,2178.17
2025-01-27,Sur,web,35,666,423.36,1424.04
2025-01-28,Norte,tienda,48,698,443.05,1610.01
2025-01-29,Este,partner,35,742,285.92,1240.48
